date,category,n_trades,pnl,n_pre,n_h,n_l,lh_pct,ll_pct,mean_adx,h1,h3,h6,h_trend,vd_high,vd_low,coarse
2025-03-28,neutral,0,0.0,6,4,2,33.333333333333336,0.0,25.76872531000131,23.2,20.5,10.9,expanding,7.300000000000084,6.499999999999284,transitioning
2025-03-30,neutral,0,0.0,6,4,2,0.0,100.0,13.560297143810894,7.0,6.7,8.2,stable,1.7999999999995797,5.0000000000005596,transitioning
2025-03-31,good,3,3336.268353291302,6,2,4,0.0,66.66666666666667,11.554673873442153,15.7,15.7,13.7,stable,5.349999999999522,3.8999999999994595,transitioning
2025-04-01,neutral,0,0.0,6,3,3,100.0,100.0,35.431579065140525,13.6,9.8,10.6,stable,7.566666666665907,6.999999999999969,trending_down
2025-04-02,neutral,0,0.0,6,3,3,100.0,50.0,23.101628029477933,10.4,12.8,10.9,stable,1.8666666666670533,5.666666666666782,transitioning
2025-04-03,neutral,0,0.0,6,3,3,0.0,50.0,36.256923909097566,28.3,36.3,25.2,stable,11.299999999999272,18.09999999999941,transitioning
2025-04-04,good,6,7002.428787060585,6,3,3,100.0,100.0,30.06541462729311,12.3,15.3,21.9,contracting,26.666666666666686,15.833333333332698,trending_down
2025-04-06,neutral,0,0.0,6,4,2,33.333333333333336,100.0,21.618023435875816,49.8,43.7,44.1,stable,6.825000000000303,12.900000000000134,transitioning
2025-04-07,good,5,989.439042763383,6,4,2,66.66666666666667,0.0,28.331970563789568,41.0,39.1,32.5,expanding,12.800000000000033,12.499999999999734,transitioning
2025-04-08,neutral,0,0.0,6,3,3,50.0,50.0,23.309855445778158,17.8,21.0,19.5,stable,11.666666666666861,11.666666666666861,ranging
2025-04-09,neutral,0,0.0,6,3,3,50.0,100.0,15.554039564440261,30.2,54.1,41.2,stable,23.766666666666936,10.566666666667057,transitioning
2025-04-10,neutral,0,0.0,6,4,2,33.333333333333336,100.0,22.795658736673207,38.0,24.3,22.1,expanding,7.150000000000212,8.900000000000574,transitioning
2025-04-11,neutral,0,0.0,6,3,3,0.0,0.0,28.72163688585518,27.3,38.3,37.4,stable,28.36666666666598,21.600000000000136,trending_up
2025-04-13,neutral,0,0.0,6,3,3,0.0,100.0,13.643806634081125,30.1,19.9,16.8,expanding,5.3999999999991095,4.366666666666408,transitioning
2025-04-14,neutral,0,0.0,6,3,3,50.0,50.0,30.592097179050498,15.3,14.5,23.2,stable,23.799999999999745,13.600000000000279,ranging
2025-04-15,neutral,0,0.0,6,3,3,50.0,0.0,31.444863080596402,19.8,18.4,20.0,stable,10.300000000000864,6.299999999999824,transitioning
2025-04-16,neutral,0,0.0,6,3,3,0.0,50.0,34.06815492602785,13.0,22.5,21.8,stable,4.39999999999922,9.000000000000488,transitioning
2025-04-17,neutral,0,0.0,6,2,4,0.0,33.333333333333336,24.572144619982026,4.2,18.3,15.8,stable,11.600000000000499,9.974999999999845,transitioning
2025-04-20,neutral,0,0.0,6,3,3,0.0,0.0,13.762346757041449,14.4,10.2,12.7,stable,5.933333333332976,4.20000000000013,trending_up
2025-04-21,neutral,0,0.0,6,4,2,33.333333333333336,0.0,30.548709310885148,27.4,17.1,16.8,expanding,8.375000000000465,9.950000000000792,transitioning
2025-04-22,good,3,1102.8277725742194,6,3,3,100.0,100.0,26.589965251025486,31.7,27.3,18.1,expanding,6.766666666666588,15.599999999999318,trending_down
2025-04-23,neutral,0,0.0,6,3,3,0.0,100.0,25.34021237206952,27.4,21.7,20.6,expanding,4.700000000000444,6.099999999999994,transitioning
2025-04-24,neutral,0,0.0,6,2,4,0.0,0.0,18.370882483373936,10.9,12.0,9.1,stable,8.900000000000574,4.799999999999804,trending_up
2025-04-25,neutral,0,0.0,6,4,2,33.333333333333336,0.0,32.82730545902749,19.4,33.6,26.1,stable,9.324999999999472,10.499999999999954,transitioning
2025-04-27,neutral,0,0.0,6,4,2,33.333333333333336,0.0,15.425142285785611,10.0,8.0,8.2,stable,6.5749999999997755,5.0000000000005596,transitioning
2025-04-28,neutral,0,0.0,6,4,2,66.66666666666667,0.0,30.88491417668692,8.7,17.1,22.2,contracting,9.150000000000546,10.000000000000009,transitioning
2025-04-29,good,2,2453.024369716895,6,3,3,50.0,100.0,19.55570610217565,20.2,17.1,14.8,expanding,1.6999999999992947,4.933333333332346,transitioning
2025-04-30,good,2,2510.1738258337605,6,2,4,100.0,66.66666666666667,18.078520188805808,13.6,19.2,16.7,stable,10.150000000000992,7.849999999999802,transitioning
2025-05-01,bad,2,-126.22392873138779,6,3,3,0.0,50.0,24.329376237124062,1.0,17.5,18.5,contracting,7.400000000000369,15.23333333333395,transitioning
2025-05-02,neutral,0,0.0,6,4,2,66.66666666666667,100.0,24.51863239892045,4.3,11.8,11.1,stable,5.175000000000596,4.300000000000415,transitioning
2025-05-04,neutral,0,0.0,6,4,2,66.66666666666667,0.0,20.980875527716083,3.0,6.0,9.2,contracting,8.49999999999962,6.999999999999229,transitioning
2025-05-05,neutral,0,0.0,6,2,4,0.0,33.333333333333336,24.002821474866433,9.1,10.1,12.8,contracting,6.000000000000449,4.975000000000396,transitioning
2025-05-06,neutral,0,0.0,6,4,2,0.0,0.0,28.262814798186422,28.2,17.3,15.1,expanding,10.824999999999863,8.500000000000174,trending_up
2025-05-07,bad,2,-127.71592152472613,6,4,2,66.66666666666667,100.0,19.407233758063498,14.3,11.9,12.6,stable,3.475000000000006,6.349999999999412,transitioning
2025-05-08,bad,1,-1366.3670970586022,6,3,3,50.0,50.0,37.89629929199801,20.6,21.2,25.0,contracting,22.266666666665987,26.933333333332882,ranging
2025-05-09,neutral,0,0.0,6,4,2,0.0,0.0,20.734506397307904,31.5,18.1,17.2,expanding,8.449999999999847,7.949999999999902,trending_up
2025-05-11,neutral,0,0.0,6,4,2,100.0,100.0,20.82566507023839,5.1,6.8,7.0,contracting,3.149999999999542,5.499999999999394,trending_down
2025-05-12,good,4,2410.7921217569883,6,3,3,50.0,50.0,26.946693643691628,129.8,53.6,37.7,expanding,6.60000000000031,43.133333333334654,ranging
2025-05-13,neutral,0,0.0,6,3,3,50.0,50.0,22.999927180511364,13.1,15.1,13.2,stable,3.7666666666676583,3.3666666666657776,ranging
2025-05-14,good,5,1040.8155265434748,6,3,3,0.0,0.0,13.645466023496823,25.1,20.6,19.9,expanding,5.533333333333316,6.833333333333691,trending_up
2025-05-15,neutral,0,0.0,6,2,4,0.0,66.66666666666667,22.430826224104482,25.9,29.3,19.8,stable,14.900000000001024,9.2749999999997,transitioning
2025-05-16,bad,2,-118.76574239643423,6,4,2,66.66666666666667,100.0,21.382974407631547,9.0,9.6,10.8,contracting,2.349999999999297,3.4999999999996145,transitioning
2025-05-18,neutral,0,0.0,6,3,3,50.0,50.0,17.10394094654757,5.2,7.4,7.1,stable,4.700000000000444,4.833333333334651,ranging
2025-05-19,neutral,0,0.0,6,3,3,0.0,0.0,26.419188109939892,12.8,27.7,23.2,stable,24.166666666666597,23.20000000000026,trending_up
2025-05-20,neutral,0,0.0,6,3,3,0.0,50.0,15.832156376726767,19.0,17.7,17.3,expanding,4.466666666666323,4.333333333332856,transitioning
2025-05-21,neutral,0,0.0,6,4,2,33.333333333333336,100.0,34.13511342728776,37.1,39.5,30.8,stable,11.349999999999415,2.549999999998942,transitioning
2025-05-22,neutral,0,0.0,6,3,3,50.0,50.0,12.859871519845008,17.6,20.4,15.8,stable,1.7666666666663982,5.533333333333316,ranging
2025-05-23,neutral,0,0.0,6,5,1,25.0,,30.670642506454353,41.8,29.4,24.0,expanding,10.540000000000216,12.000000000000899,transitioning
2025-05-25,neutral,0,0.0,6,4,2,0.0,0.0,18.309407646289383,10.0,8.8,9.3,stable,1.7000000000000348,5.999999999999339,trending_up
2025-05-26,neutral,0,0.0,6,3,3,100.0,100.0,20.289305112142753,10.5,10.7,12.9,contracting,5.866666666666613,6.366666666666927,trending_down
2025-05-27,good,3,3900.064694951365,6,2,4,100.0,66.66666666666667,32.60830969840356,37.2,25.2,21.4,expanding,19.050000000000455,16.750000000000377,transitioning
2025-05-28,bad,2,-83.96058420933377,6,3,3,0.0,0.0,28.144648296977213,3.5,15.3,15.0,stable,6.566666666666017,11.499999999999844,trending_up
2025-05-29,neutral,0,0.0,6,4,2,0.0,0.0,23.45337599105679,13.7,23.4,19.1,stable,9.42499999999957,19.999999999998906,trending_up
2025-05-30,bad,1,-1441.2988170884878,6,3,3,0.0,50.0,14.49223814451284,13.7,18.7,14.8,stable,3.2000000000002395,4.633333333333341,transitioning
2025-06-01,neutral,0,0.0,6,4,2,66.66666666666667,100.0,14.021414643312289,16.1,9.1,11.8,stable,4.050000000000442,13.550000000001061,transitioning
2025-06-02,neutral,0,0.0,6,4,2,0.0,0.0,44.63395305715475,18.5,28.2,23.4,stable,13.524999999999789,25.00000000000058,trending_up
2025-06-03,bad,2,-111.38586108434129,6,4,2,100.0,0.0,17.44534792810074,7.8,13.9,18.2,contracting,5.925000000000513,0.9999999999998899,transitioning
2025-06-04,neutral,0,0.0,6,3,3,50.0,50.0,25.974893919915814,17.3,12.9,12.8,expanding,12.40000000000056,10.133333333333105,ranging
2025-06-05,neutral,0,0.0,6,2,4,0.0,33.333333333333336,17.97093447852816,17.4,21.5,17.7,stable,12.149999999999661,5.600000000000049,transitioning
2025-06-06,bad,2,-116.58162296129149,6,4,2,100.0,100.0,38.29818560916774,17.7,20.0,17.8,stable,6.5749999999997755,13.500000000000734,trending_down
2025-06-08,neutral,0,0.0,6,4,2,66.66666666666667,100.0,13.838574782568413,3.0,6.9,7.6,contracting,1.8999999999996797,1.9999999999997797,transitioning
2025-06-09,neutral,0,0.0,6,3,3,50.0,0.0,22.87735506591436,9.4,12.1,12.4,contracting,5.233333333332831,4.000000000000299,transitioning
2025-06-10,good,3,1181.1959747238477,6,1,5,,50.0,42.2171744628487,11.4,13.9,29.0,contracting,69.20000000000037,17.53999999999989,transitioning
2025-06-11,neutral,0,0.0,6,3,3,100.0,50.0,20.312204206063214,8.2,13.3,14.2,contracting,7.199999999999059,7.3333333333332655,transitioning
2025-06-12,neutral,0,0.0,6,4,2,66.66666666666667,100.0,30.297348182275858,26.2,28.6,24.8,stable,10.47499999999979,27.099999999999902,transitioning
2025-06-13,neutral,0,0.0,6,4,2,33.333333333333336,0.0,18.369505133126207,27.9,23.5,24.2,stable,8.424999999999127,14.699999999998603,transitioning
2025-06-16,neutral,0,0.0,6,3,3,50.0,0.0,40.26772896377677,8.6,11.6,16.8,contracting,6.366666666666927,10.63333333333416,transitioning
2025-06-17,good,3,4004.5873937280003,6,3,3,100.0,100.0,22.17959157745696,21.7,23.0,20.4,stable,1.7666666666671382,5.900000000000165,trending_down
2025-06-18,neutral,0,0.0,6,2,4,0.0,33.333333333333336,30.084108361452095,24.7,21.4,20.8,expanding,7.5499999999995016,7.150000000000767,transitioning
2025-06-19,neutral,0,0.0,6,3,3,0.0,100.0,25.600386907030288,35.4,24.6,20.3,expanding,11.933333333333797,3.333333333332966,transitioning
2025-06-20,neutral,0,0.0,6,2,4,100.0,33.333333333333336,27.368990335527812,8.2,10.2,20.5,contracting,10.000000000000009,9.94999999999968,transitioning
2025-06-22,neutral,0,0.0,6,5,1,50.0,,18.00378073647727,5.0,7.4,7.9,contracting,7.159999999999833,3.4000000000000696,transitioning
2025-06-23,neutral,0,0.0,6,2,4,100.0,0.0,28.563086963743515,13.1,15.6,17.2,contracting,4.850000000000687,7.27499999999992,transitioning
2025-06-24,neutral,0,0.0,6,2,4,100.0,66.66666666666667,29.038362305758522,23.8,22.0,17.6,expanding,3.4000000000000696,10.100000000000666,transitioning
2025-06-25,neutral,0,0.0,6,5,1,50.0,,20.850144255574453,29.0,20.8,18.2,expanding,5.079999999999973,3.9999999999995595,transitioning
2025-06-26,neutral,0,0.0,6,3,3,0.0,50.0,21.237965999548553,21.4,26.1,19.0,stable,14.500000000000254,9.23333333333313,transitioning
2025-06-27,neutral,0,0.0,6,3,3,0.0,0.0,27.649548524635566,11.2,6.7,9.7,stable,5.033333333333001,9.900000000000464,trending_up
