T_h,T_adx,strict,trades,net,wr,pct_retained
5,33,False,127,3532.6482891483047,53.54330708661417,30.67632850241546
5,33,True,13,-1575.6942545529682,46.15384615384615,3.140096618357488
8,0,False,326,-16797.435728735927,49.079754601226995,78.74396135265701
8,0,True,39,-11355.51318072945,35.8974358974359,9.420289855072463
8,15,False,305,-16391.68223067021,48.85245901639344,73.67149758454106
8,15,True,36,-13786.033456388923,30.555555555555557,8.695652173913043
8,18,False,279,-8553.347031481753,50.17921146953405,67.3913043478261
8,18,True,35,-12775.327409428957,31.428571428571427,8.454106280193237
8,20,False,254,-4752.397841094543,50.78740157480315,61.35265700483092
8,20,True,30,-9799.211142360076,33.333333333333336,7.246376811594203
8,22,False,234,-267.13235992177533,51.70940170940171,56.52173913043478
8,22,True,27,-7129.2363816427105,37.03703703703704,6.521739130434782
8,25,False,201,-2346.1822143475747,50.74626865671642,48.55072463768116
8,25,True,24,-7757.8112391613495,33.333333333333336,5.797101449275362
8,28,False,166,-362.08192523054186,51.204819277108435,40.09661835748792
8,28,True,20,-6105.358908624777,35.0,4.830917874396135
8,30,False,147,243.11864927029637,51.70068027210884,35.507246376811594
8,30,True,17,-5240.983209836356,35.294117647058826,4.106280193236715
8,33,False,114,5477.35835891342,54.3859649122807,27.536231884057973
8,33,True,13,-1575.6942545529682,46.15384615384615,3.140096618357488
10,0,False,274,-9019.510170467445,50.0,66.18357487922705
10,0,True,39,-11355.51318072945,35.8974358974359,9.420289855072463
10,15,False,257,-10952.031427298098,49.416342412451364,62.07729468599034
10,15,True,36,-13786.033456388923,30.555555555555557,8.695652173913043
10,18,False,233,-3206.804955499003,51.072961373390555,56.28019323671498
10,18,True,35,-12775.327409428957,31.428571428571427,8.454106280193237
10,20,False,209,1405.6478820702348,52.15311004784689,50.48309178743961
10,20,True,30,-9799.211142360076,33.333333333333336,7.246376811594203
10,22,False,194,4715.083940995815,53.09278350515464,46.85990338164251
10,22,True,27,-7129.2363816427105,37.03703703703704,6.521739130434782
10,25,False,167,1979.5530155382262,52.09580838323353,40.33816425120773
10,25,True,24,-7757.8112391613495,33.333333333333336,5.797101449275362
10,28,False,140,1488.949701299795,52.142857142857146,33.81642512077295
10,28,True,20,-6105.358908624777,35.0,4.830917874396135
10,30,False,124,3037.271642395024,53.225806451612904,29.95169082125604
10,30,True,17,-5240.983209836356,35.294117647058826,4.106280193236715
10,33,False,94,7669.733259350949,56.38297872340426,22.705314009661837
10,33,True,13,-1575.6942545529682,46.15384615384615,3.140096618357488
12,0,False,218,3153.6479546671917,52.75229357798165,52.65700483091788
12,0,True,36,-8681.294202690757,38.888888888888886,8.695652173913043
12,15,False,206,3298.1928325780264,52.9126213592233,49.75845410628019
12,15,True,33,-11111.814478350232,33.333333333333336,7.971014492753623
12,18,False,187,8555.749541465844,54.54545454545455,45.169082125603865
12,18,True,32,-10101.108431390267,34.375,7.729468599033816
12,20,False,168,10480.743013118115,55.357142857142854,40.57971014492754
12,20,True,29,-8983.43998582499,34.48275862068966,7.004830917874396
12,22,False,155,13667.777196044124,56.774193548387096,37.43961352657005
12,22,True,26,-6313.465225107626,38.46153846153846,6.280193236714976
12,25,False,136,8692.985436500992,55.14705882352941,32.85024154589372
12,25,True,24,-7757.8112391613495,33.333333333333336,5.797101449275362
12,28,False,112,10495.359062481035,57.142857142857146,27.053140096618357
12,28,True,20,-6105.358908624777,35.0,4.830917874396135
12,30,False,99,12895.227547518358,59.5959595959596,23.91304347826087
12,30,True,17,-5240.983209836356,35.294117647058826,4.106280193236715
12,33,False,74,14873.478917238815,63.513513513513516,17.8743961352657
12,33,True,13,-1575.6942545529682,46.15384615384615,3.140096618357488
15,0,False,156,-2662.1583369881787,50.64102564102564,37.68115942028985
15,0,True,30,-9921.762859287928,33.333333333333336,7.246376811594203
15,15,False,150,-4320.52018674963,50.0,36.231884057971016
15,15,True,28,-11608.67549560277,28.571428571428573,6.763285024154589
15,18,False,140,-2491.4989485150654,50.714285714285715,33.81642512077295
15,18,True,28,-11608.67549560277,28.571428571428573,6.763285024154589
15,20,False,125,1178.4372393373865,52.0,30.193236714975846
15,20,True,25,-10491.007050037495,28.0,6.038647342995169
15,22,False,116,2314.885291235092,52.58620689655172,28.019323671497585
15,22,True,22,-7821.03228932013,31.818181818181817,5.314009661835748
15,25,False,102,940.5179962014122,51.96078431372549,24.63768115942029
15,25,True,21,-8550.47100497288,28.571428571428573,5.072463768115942
15,28,False,85,1832.3342502450166,52.94117647058823,20.531400966183575
15,28,True,18,-6081.79986376538,33.333333333333336,4.3478260869565215
15,30,False,75,3563.0680466178965,54.666666666666664,18.115942028985508
15,30,True,15,-5217.424164976959,33.333333333333336,3.6231884057971016
15,33,False,57,7961.838011357668,59.64912280701754,13.768115942028986
15,33,True,12,-2309.62355955655,41.666666666666664,2.898550724637681
18,0,False,113,1009.6118986278909,52.21238938053097,27.294685990338163
18,0,True,29,-9098.592113956825,34.48275862068966,7.004830917874396
18,15,False,107,-648.7499511335607,51.401869158878505,25.845410628019323
18,15,True,27,-10785.504750271668,29.62962962962963,6.521739130434782
18,18,False,102,176.70741712805557,51.96078431372549,24.63768115942029
18,18,True,27,-10785.504750271668,29.62962962962963,6.521739130434782
18,20,False,92,4424.374391971946,54.34782608695652,22.22222222222222
18,20,True,24,-9667.83630470639,29.166666666666668,5.797101449275362
18,22,False,85,5541.971624045431,55.294117647058826,20.531400966183575
18,22,True,21,-6997.861543989028,33.333333333333336,5.072463768115942
18,25,False,72,5094.566520918462,55.55555555555556,17.391304347826086
18,25,True,20,-7727.300259641777,30.0,4.830917874396135
18,28,False,58,3374.69335503571,55.172413793103445,14.009661835748792
18,28,True,18,-6081.79986376538,33.333333333333336,4.3478260869565215
18,30,False,53,2571.7482856941233,54.716981132075475,12.801932367149758
18,30,True,15,-5217.424164976959,33.333333333333336,3.6231884057971016
18,33,False,42,5868.05600088095,59.523809523809526,10.144927536231885
18,33,True,12,-2309.62355955655,41.666666666666664,2.898550724637681
20,0,False,91,1362.3540658537247,52.747252747252745,21.980676328502415
20,0,True,28,-8319.570184112144,35.714285714285715,6.763285024154589
20,15,False,86,548.7510421721715,52.325581395348834,20.77294685990338
20,15,True,26,-10006.482820426989,30.76923076923077,6.280193236714976
20,18,False,84,2107.6584926365867,53.57142857142857,20.28985507246377
20,18,True,26,-10006.482820426989,30.76923076923077,6.280193236714976
20,20,False,77,5355.922357652907,55.84415584415584,18.59903381642512
20,20,True,24,-9667.83630470639,29.166666666666668,5.797101449275362
20,22,False,71,5697.66098609165,56.33802816901409,17.14975845410628
20,22,True,21,-6997.861543989028,33.333333333333336,5.072463768115942
20,25,False,63,6252.493135169729,57.142857142857146,15.217391304347826
20,25,True,20,-7727.300259641777,30.0,4.830917874396135
20,28,False,51,4291.813443202434,56.86274509803921,12.318840579710145
20,28,True,18,-6081.79986376538,33.333333333333336,4.3478260869565215
20,30,False,47,4445.000134645232,57.4468085106383,11.352657004830919
20,30,True,15,-5217.424164976959,33.333333333333336,3.6231884057971016
