entry_idx,exit_idx,direction,entry,exit,stop,target,size,pnl,win,result,mae,adx_at_entry,atr_at_entry,fractal_bar,fractal_label,timestamp,entry_ts,frk_kind,h1,h3,h6,adx_fr
10190,10225,short,1.23579,1.23262,1.2389599999999998,1.23262,315535.2006539151,968.6930660074863,True,TP,0.0010799999999999699,25.392598575242523,0.0007419002688384398,10188,H,2025-01-22 15:05:00+00:00,2025-01-22 12:10:00+00:00,H,9.599999999998499,7.133333333331955,13.383333333332564,28.277348272576795
10270,10533,short,1.23239,1.2359399999999998,1.2358399999999998,1.2289400000000004,292734.352676241,-1068.4803872681978,False,SL,0.00370999999999988,15.192768209590078,0.0005568831293212623,10268,H,2025-01-23 16:45:00+00:00,2025-01-22 18:50:00+00:00,H,13.399999999998968,12.266666666665612,13.266666666666241,16.515918557162426
10553,10656,short,1.2364,1.2404,1.2403,1.2325,256217.61868211976,-1050.4922365966918,False,SL,0.0039599999999999635,25.400836621737046,0.0007845878181790037,10551,H,2025-01-24 03:00:00+00:00,2025-01-23 18:25:00+00:00,H,9.00000000000123,17.66666666666694,18.733333333333565,25.468644415164636
10711,10732,short,1.23778,1.2424799999999998,1.2423799999999998,1.2331800000000004,214944.30228138372,-1031.7326509505783,False,SL,0.006119999999999903,24.29977696642024,0.0006946615459957451,10709,H,2025-01-24 09:20:00+00:00,2025-01-24 07:35:00+00:00,H,9.799999999999809,19.59999999999962,18.233333333333622,24.05599815723605
10888,10995,short,1.24638,1.2429900000000003,1.2497699999999998,1.2429900000000003,288621.3758067436,949.5643264041237,True,TP,0.00024000000000001798,21.71518868213118,0.0004887950277235529,10886,H,2025-01-27 07:55:00+00:00,2025-01-26 23:00:00+00:00,H,3.6999999999998145,14.56666666666736,11.150000000000512,19.254694026395512
11046,11180,short,1.24972,1.24589,1.25355,1.24589,257943.1089422557,962.1277963546138,True,TP,0.002569999999999961,37.10362513295774,0.0008320560431672152,11044,H,2025-01-27 23:20:00+00:00,2025-01-27 12:10:00+00:00,H,13.100000000001444,18.86666666666666,19.133333333332857,38.74676950773477
11188,11332,short,1.24574,1.2420000000000002,1.24948,1.2420000000000002,266722.83027070167,970.8711021853153,True,TP,0.0007699999999999374,57.095009839106396,0.0010661474209779642,11186,H,2025-01-28 12:00:00+00:00,2025-01-28 00:00:00+00:00,H,29.300000000000992,40.4666666666668,28.749999999999982,58.77159176655841
11341,11637,short,1.24292,1.2394100000000001,1.24643,1.2394100000000001,286966.4091835518,978.5554553158835,True,TP,0.0033799999999999386,25.39092958441233,0.0006199967173936437,11339,H,2025-01-29 13:25:00+00:00,2025-01-28 12:45:00+00:00,H,17.300000000000093,19.10000000000004,15.500000000000142,28.072609109943883
11641,11664,short,1.23971,1.2435999999999998,1.2434999999999998,1.2359200000000004,268347.6651154268,-1070.7071838104798,False,SL,0.004349999999999854,24.00194125672565,0.0007652280920425047,11639,H,2025-01-29 15:40:00+00:00,2025-01-29 13:45:00+00:00,H,2.80000000000058,12.83333333333377,13.7166666666666,22.662233460296513
11677,11932,short,1.24353,1.2473999999999998,1.2472999999999999,1.2397600000000002,266931.18805022235,-1059.7168165593343,False,SL,0.0041199999999999015,32.347456485773556,0.0008336103905735485,11675,H,2025-01-30 14:00:00+00:00,2025-01-29 16:45:00+00:00,H,20.000000000000018,25.90000000000092,22.08333333333405,31.772333038850768
